epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,55.3872,1.50213,2.87725,2.32619,1.48416,0.40659,0.30303,0.29781,0.1481,0.42288,0.28788,0.28581,0.13574,1.74402,4.6468,3.32144,1.88627,0.000663102,0.000663102,0.000663102
2,111.564,1.54813,2.72021,1.87055,1.49413,0.30732,0.33333,0.24457,0.11449,0.31675,0.34091,0.24198,0.12258,1.75424,3.27594,3.00288,1.85069,0.00132099,0.00132099,0.00132099
3,168.285,1.53785,2.64601,1.73156,1.48938,0.49384,0.44697,0.41383,0.1848,0.53215,0.48485,0.47222,0.23214,1.669,2.54781,2.3311,1.84422,0.00197008,0.00197008,0.00197008
4,236.368,1.4988,2.60288,1.64839,1.47937,0.31881,0.30303,0.22451,0.09558,0.37342,0.32576,0.2277,0.09467,1.96626,3.68088,2.40264,1.80221,0.0019604,0.0019604,0.0019604
5,291.211,1.45319,2.51714,1.54406,1.44316,0.68804,0.48485,0.54906,0.28877,0.66088,0.54545,0.54692,0.28631,1.52212,2.89565,1.55981,1.65763,0.0019472,0.0019472,0.0019472
6,360.41,1.42002,2.47145,1.49663,1.41839,0.643,0.57576,0.6162,0.31059,0.68788,0.51761,0.59816,0.32605,1.62204,2.57524,1.4139,1.65038,0.001934,0.001934,0.001934
7,433.077,1.39601,2.43231,1.46653,1.40703,0.65663,0.65152,0.67099,0.37361,0.70396,0.66653,0.7058,0.40029,1.67399,2.38083,1.40921,1.61432,0.0019208,0.0019208,0.0019208
8,495.991,1.35884,2.34397,1.38636,1.37028,0.65602,0.63636,0.6558,0.36819,0.77955,0.56818,0.66811,0.38869,1.47459,2.37094,1.30355,1.5994,0.0019076,0.0019076,0.0019076
9,563.171,1.3653,2.35818,1.39719,1.38277,0.61163,0.62121,0.64764,0.34849,0.66495,0.59091,0.63383,0.35334,1.49249,2.55322,1.25401,1.60318,0.0018944,0.0018944,0.0018944
10,628.107,1.33102,2.66291,1.35691,1.36283,0.63167,0.59848,0.63333,0.35618,0.61068,0.62121,0.61516,0.3481,1.60289,2.70091,1.60577,1.71593,0.0018812,0.0018812,0.0018812
